Mass percent Cr	Invariant: BCC_B2 C15_LAVES HCP_A3	Mass percent Cr [1]	Invariant: BCC_B2 BCC_B2#2 HCP_A3	Mass percent Cr [2]	BCC_B2 + C15_LAVES	Mass percent Cr [3]	BCC_B2 + HCP_A3	Mass percent Cr [4]	BCC_B2#2 + BCC_B2	Mass percent Cr [5]	C15_LAVES + HCP_A3
				67.81228	0.09825			50.22777	38.08631	0.40258	0.52577
				67.90986	0.03976			48.54822	38.98024	0.40259	0.52548
				67.95076	0.01576			46.84959	39.81946	0.40398	0.22897
				67.96941	0.00496			45.12772	40.59752	0.40462	0.08190
				67.97389	0.00237			43.37513	41.30733	0.40493	0.00871
				67.97611	0.00110			41.58193	41.93942	0.40495	0.00414
				67.97721	0.00046			39.73454	42.48079	0.40496	0.00186
				67.97776	0.00015			37.81327	42.91265	0.40496	0.00072
				67.97790	0.00007			35.78746	43.20599	0.40497	0.00014
				67.97797	0.00003			35.25926	43.25261	0.40497	1.69886E-6
				67.97800	0.00001			35.12558	43.26234	0.40497	5.84273E-7
				67.97802	1.37823E-6			35.05848	43.26690	0.40497	2.69778E-8
				67.97802	1.48726E-7			35.02487	43.26911	0.40497	2.69778E-8
				67.97802	7.18829E-8			35.02066	43.26938		
				67.97802	7.18829E-8			35.01646	43.26965		
				98.13594	0.98191			35.01436	43.26979		
				98.13792	0.97999			35.01330	43.26986		
				99.12486	0.02145			35.01278	43.26989		
				99.14028	0.00645			35.01225	43.26992		
				99.14413	0.00270			35.01173	43.26996		
				99.14606	0.00082			35.01146	43.26997		
				99.14654	0.00036			35.01120	43.26999		
				99.14678	0.00012			35.01094	43.27001		
				99.14690	4.44287E-6			35.01068	43.27002		
				99.14691	7.81340E-7			35.01041	43.27004		
				99.14691	7.81340E-7			35.01015	43.27006		
				67.93974	0.02219			35.00989	43.27008		
				67.93982	0.02214			35.00975	43.27008		
				67.97724	0.00045			35.00962	43.27009		
				67.97778	0.00014			35.00949	43.27010		
				67.97792	0.00006			35.00936	43.27011		
				67.97799	0.00002			35.00923	43.27012		
				67.97801	7.46293E-6			35.00910	43.27013		
				67.97801	2.54970E-6			35.00897	43.27013		
				67.97802	9.31479E-8			35.00883	43.27014		
				67.97802	1.63813E-8			35.00870	43.27015		
				67.97802	1.63813E-8			35.00857	43.27016		
				84.83443	13.49689			35.00844	43.27017		
				84.83642	13.49510			35.00831	43.27018		
				86.81757	11.69608			35.00824	43.27018		
				88.79754	9.86957			35.00818	43.27018		
				90.77606	8.02021			35.00811	43.27019		
				92.75401	6.15079			35.00805	43.27019		
				94.73168	4.26404			35.00798	43.27020		
				96.70894	2.36253			35.00791	43.27020		
				98.68536	0.44865			35.00785	43.27021		
				98.93233	0.20866			35.00778	43.27021		
				99.05581	0.08861			35.00772	43.27021		
				99.11754	0.02857			35.00765	43.27022		
				99.13298	0.01355			35.00759	43.27022		
				99.14069	0.00605			35.00752	43.27023		
				99.14455	0.00229			35.00745	43.27023		
				99.14648	0.00042			35.00742	43.27023		
				99.14672	0.00018			35.00739	43.27024		
				99.14684	0.00007			35.00736	43.27024		
				99.14690	7.71386E-6			35.00732	43.27024		
				99.14691	3.83468E-7			35.00729	43.27024		
				99.14691	3.83468E-7			35.00726	43.27024		
				66.77837	0.75424			35.00722	43.27025		
				66.77867	0.75405			35.00719	43.27025		
				67.05391	0.57699			35.00716	43.27025		
				67.28601	0.42826			35.00713	43.27025		
				67.47982	0.30503			35.00709	43.27025		
				67.64009	0.20432			35.00706	43.27026		
				67.77117	0.12330			35.00705	43.27026		
				67.87700	0.05927			35.00705	43.27026		
				67.96114	0.00974			35.00705	43.27026		
				67.97030	0.00445						
				67.97477	0.00187						
				67.97697	0.00060						
				67.97752	0.00028						
				67.97780	0.00013						
				67.97794	0.00005						
				67.97800	8.76846E-6						
				67.97801	3.85026E-6						
				67.97802	1.39123E-6						
				67.97802	1.61726E-7						
				67.97802	8.03966E-9						
				67.97802	8.03966E-9						
				96.89876	2.17925						
				96.93447	2.14476						
				98.90879	0.23154						
				99.03227	0.11150						
				99.09401	0.05146						
				99.12487	0.02144						
				99.14031	0.00642						
				99.14416	0.00267						
				99.14609	0.00079						
				99.14658	0.00032						
				99.14682	0.00009						
				99.14688	0.00003						
				99.14691	1.81782E-6						
				99.14691	1.81782E-6						
				67.88597	0.05393						
				67.88763	0.05294						
				67.96944	0.00494						
				67.97392	0.00236						
				67.97613	0.00108						
				67.97724	0.00045						
				67.97778	0.00013						
				67.97792	0.00006						
				67.97799	0.00002						
				67.97801	6.80049E-6						
				67.97802	1.88237E-6						
				67.97802	6.52860E-7						
				67.97802	3.81118E-8						
				67.97802	3.81118E-8						
